X,Y,OBJECTID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.637484699157199,35.64868477876486,162,ラフ・クルー経堂保育園,保育園,認証保育所,経堂1-6-17,Ｇｒａndir Kyodo 1階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131243.html
139.631465526886245,35.656954774818871,163,わらべうた経堂保育園,保育園,認証保育所,桜上水１－７－１０, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124614.html
139.653208878306259,35.660040138124536,164,梅丘保育園,保育園,区立保育園,松原6-6-9, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011744.html
139.649416811599281,35.65538854546088,165,豪徳寺保育園,保育園,区立保育園,豪徳寺1-34-2, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011737.html
139.665349666334379,35.659677305498199,166,下北沢保育園,保育園,区立保育園,代沢5-34-15, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011738.html
139.656985289860671,35.647645787966958,167,世田谷保育園,保育園,区立保育園,若林4-37-11, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011718.html
139.665984723008989,35.648991221743557,168,太子堂保育園,保育園,区立保育園,太子堂5-24-27, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011716.html
139.658480703394901,35.655065202387988,169,代田保育園,保育園,区立保育園,代田3-27-20, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011736.html
139.645818946333492,35.655011631204957,170,河田保育園,保育園,私立保育園,赤堤1-3-23, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011747.html
139.654116555547716,35.65617820390883,171,成育しせい保育園梅丘分園,保育園,私立保育園,梅丘1-31-36, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00025981.html
139.647540305849986,35.653523966694507,172,春明保育園,保育園,私立保育園,豪徳寺1-25-18, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011745.html
139.655652859197261,35.660795874901282,173,羽根木こども園（認定こども園）,保育園,私立認定こども園,代田4-25-9, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011748.html
